Video_index,Video_name,Video_category,Start_times,End_times,Action_labels,Nouns
32,OP01-R01-PastaSalad-219230-221040,OP01-R01-PastaSalad,219230,221040,4,tomato
33,OP01-R01-PastaSalad-221440-222450,OP01-R01-PastaSalad,221440,222450,4,tomato
34,OP01-R01-PastaSalad-223965-226275,OP01-R01-PastaSalad,223965,226275,2,fridge
35,OP01-R01-PastaSalad-226305-227875,OP01-R01-PastaSalad,226305,227875,5,tomato
36,OP01-R01-PastaSalad-227925-229425,OP01-R01-PastaSalad,227925,229425,3,onion
37,OP01-R01-PastaSalad-233420-239780,OP01-R01-PastaSalad,233420,239780,1,recipe
38,OP01-R01-PastaSalad-241965-244385,OP01-R01-PastaSalad,241965,244385,2,fridge
39,OP01-R01-PastaSalad-244430-245930,OP01-R01-PastaSalad,244430,245930,3,bell_pepper
40,OP01-R01-PastaSalad-246605-249935,OP01-R01-PastaSalad,246605,249935,6,fridge
41,OP01-R01-PastaSalad-250740-252410,OP01-R01-PastaSalad,250740,252410,5,bell_pepper
42,OP01-R01-PastaSalad-251490-252970,OP01-R01-PastaSalad,251490,252970,3,eating_utensil
43,OP01-R01-PastaSalad-253960-261990,OP01-R01-PastaSalad,253960,261990,4,bell_pepper
44,OP01-R01-PastaSalad-262130-263690,OP01-R01-PastaSalad,262130,263690,10,"bell_pepper,hand,hand"
45,OP01-R01-PastaSalad-264115-265395,OP01-R01-PastaSalad,264115,265395,5,bell_pepper
46,OP01-R01-PastaSalad-265500-280490,OP01-R01-PastaSalad,265500,280490,4,bell_pepper
47,OP01-R01-PastaSalad-280500-283580,OP01-R01-PastaSalad,280500,283580,7,bell_pepper
48,OP01-R01-PastaSalad-283580-291090,OP01-R01-PastaSalad,283580,291090,4,bell_pepper
49,OP01-R01-PastaSalad-291090-294050,OP01-R01-PastaSalad,291090,294050,4,bell_pepper
50,OP01-R01-PastaSalad-294050-301510,OP01-R01-PastaSalad,294050,301510,4,bell_pepper
51,OP01-R01-PastaSalad-302765-303915,OP01-R01-PastaSalad,302765,303915,3,bell_pepper
52,OP01-R01-PastaSalad-303925-307665,OP01-R01-PastaSalad,303925,307665,4,bell_pepper
53,OP01-R01-PastaSalad-308020-308880,OP01-R01-PastaSalad,308020,308880,8,bell_pepper
54,OP01-R01-PastaSalad-308925-309915,OP01-R01-PastaSalad,308925,309915,5,bell_pepper
55,OP01-R01-PastaSalad-310355-319185,OP01-R01-PastaSalad,310355,319185,4,bell_pepper
56,OP01-R01-PastaSalad-319185-323260,OP01-R01-PastaSalad,319185,323260,7,vegetable_mixture
57,OP01-R01-PastaSalad-323260-324700,OP01-R01-PastaSalad,323260,324700,7,"tomato,eating_utensil"
58,OP01-R01-PastaSalad-326105-327525,OP01-R01-PastaSalad,326105,327525,3,plate
59,OP01-R01-PastaSalad-328960-331916,OP01-R01-PastaSalad,328960,331916,10,"trash,plate,trash_container"
60,OP01-R01-PastaSalad-333745-334965,OP01-R01-PastaSalad,333745,334965,5,plate
61,OP01-R01-PastaSalad-335890-336780,OP01-R01-PastaSalad,335890,336780,3,cooking_utensil
62,OP01-R01-PastaSalad-336840-340380,OP01-R01-PastaSalad,336840,340380,0,pasta
63,OP01-R01-PastaSalad-340435-341915,OP01-R01-PastaSalad,340435,341915,5,cooking_utensil
64,OP01-R01-PastaSalad-343100-347660,OP01-R01-PastaSalad,343100,347660,1,recipe
65,OP01-R01-PastaSalad-349555-354085,OP01-R01-PastaSalad,349555,354085,2,fridge
66,OP01-R01-PastaSalad-352255-354095,OP01-R01-PastaSalad,352255,354095,5,bell_pepper
67,OP01-R01-PastaSalad-354120-358110,OP01-R01-PastaSalad,354120,358110,3,cucumber
68,OP01-R01-PastaSalad-359140-360950,OP01-R01-PastaSalad,359140,360950,2,fridge_drawer
69,OP01-R01-PastaSalad-361310-363870,OP01-R01-PastaSalad,361310,363870,3,onion
70,OP01-R01-PastaSalad-364190-365310,OP01-R01-PastaSalad,364190,365310,6,fridge_drawer
71,OP01-R01-PastaSalad-365315-369415,OP01-R01-PastaSalad,365315,369415,6,fridge
72,OP01-R01-PastaSalad-370210-371140,OP01-R01-PastaSalad,370210,371140,5,cucumber
73,OP01-R01-PastaSalad-374095-390795,OP01-R01-PastaSalad,374095,390795,4,cucumber
74,OP01-R01-PastaSalad-390080-391350,OP01-R01-PastaSalad,390080,391350,5,cucumber
75,OP01-R01-PastaSalad-392245-402145,OP01-R01-PastaSalad,392245,402145,4,cucumber
76,OP01-R01-PastaSalad-403095-421695,OP01-R01-PastaSalad,403095,421695,4,cucumber
77,OP01-R01-PastaSalad-417230-418590,OP01-R01-PastaSalad,417230,418590,4,cucumber
78,OP01-R01-PastaSalad-423235-424745,OP01-R01-PastaSalad,423235,424745,4,cucumber
79,OP01-R01-PastaSalad-424610-429120,OP01-R01-PastaSalad,424610,429120,4,cucumber
80,OP01-R01-PastaSalad-431450-432740,OP01-R01-PastaSalad,431450,432740,7,cucumber
81,OP01-R01-PastaSalad-432970-448680,OP01-R01-PastaSalad,432970,448680,4,cucumber
82,OP01-R01-PastaSalad-448690-453390,OP01-R01-PastaSalad,448690,453390,7,cucumber
83,OP01-R01-PastaSalad-453990-461530,OP01-R01-PastaSalad,453990,461530,4,cucumber
84,OP01-R01-PastaSalad-461745-462575,OP01-R01-PastaSalad,461745,462575,5,cucumber
85,OP01-R01-PastaSalad-465585-466945,OP01-R01-PastaSalad,465585,466945,4,cucumber
86,OP01-R01-PastaSalad-466940-468190,OP01-R01-PastaSalad,466940,468190,7,cucumber
87,OP01-R01-PastaSalad-468190-470350,OP01-R01-PastaSalad,468190,470350,7,cucumber
88,OP01-R01-PastaSalad-471335-478965,OP01-R01-PastaSalad,471335,478965,4,onion
89,OP01-R01-PastaSalad-480380-482380,OP01-R01-PastaSalad,480380,482380,4,onion
90,OP01-R01-PastaSalad-484335-485455,OP01-R01-PastaSalad,484335,485455,7,cucumber
91,OP01-R01-PastaSalad-488570-489510,OP01-R01-PastaSalad,488570,489510,0,stove
92,OP01-R01-PastaSalad-490380-491280,OP01-R01-PastaSalad,490380,491280,3,cooking_utensil
93,OP01-R01-PastaSalad-491430-499000,OP01-R01-PastaSalad,491430,499000,0,"pot,eating_utensil"
94,OP01-R01-PastaSalad-501115-502525,OP01-R01-PastaSalad,501115,502525,0,stove
95,OP01-R01-PastaSalad-506660-535220,OP01-R01-PastaSalad,506660,535220,4,onion
96,OP01-R01-PastaSalad-535290-539410,OP01-R01-PastaSalad,535290,539410,7,cucumber_blocks
97,OP01-R01-PastaSalad-539445-540905,OP01-R01-PastaSalad,539445,540905,3,onion
98,OP01-R01-PastaSalad-541180-545670,OP01-R01-PastaSalad,541180,545670,4,onion
99,OP01-R01-PastaSalad-546645-547385,OP01-R01-PastaSalad,546645,547385,7,onion
100,OP01-R01-PastaSalad-547430-548240,OP01-R01-PastaSalad,547430,548240,3,onion
101,OP01-R01-PastaSalad-549810-550780,OP01-R01-PastaSalad,549810,550780,4,onion
102,OP01-R01-PastaSalad-550960-552520,OP01-R01-PastaSalad,550960,552520,5,onion
103,OP01-R01-PastaSalad-551355-552555,OP01-R01-PastaSalad,551355,552555,5,cucumber
104,OP01-R01-PastaSalad-553010-553830,OP01-R01-PastaSalad,553010,553830,3,onion
105,OP01-R01-PastaSalad-555085-557735,OP01-R01-PastaSalad,555085,557735,2,fridge
106,OP01-R01-PastaSalad-557745-559045,OP01-R01-PastaSalad,557745,559045,2,fridge_drawer
107,OP01-R01-PastaSalad-560130-563650,OP01-R01-PastaSalad,560130,563650,5,garlic
108,OP01-R01-PastaSalad-563835-565185,OP01-R01-PastaSalad,563835,565185,2,fridge
109,OP01-R01-PastaSalad-565185-566165,OP01-R01-PastaSalad,565185,566165,6,fridge
110,OP01-R01-PastaSalad-566350-568380,OP01-R01-PastaSalad,566350,568380,5,cucumber
111,OP01-R01-PastaSalad-573460-574400,OP01-R01-PastaSalad,573460,574400,3,plate
112,OP01-R01-PastaSalad-576706-580669,OP01-R01-PastaSalad,576706,580669,10,"trash,plate,trash_container"
113,OP01-R01-PastaSalad-583110-583940,OP01-R01-PastaSalad,583110,583940,1,recipe
114,OP01-R01-PastaSalad-584131-594161,OP01-R01-PastaSalad,584131,594161,1,recipe
115,OP01-R01-PastaSalad-596730-599450,OP01-R01-PastaSalad,596730,599450,2,fridge
116,OP01-R01-PastaSalad-600085-602595,OP01-R01-PastaSalad,600085,602595,3,carrot_container
117,OP01-R01-PastaSalad-608675-610105,OP01-R01-PastaSalad,608675,610105,3,olive_container
118,OP01-R01-PastaSalad-614110-615705,OP01-R01-PastaSalad,614110,615705,2,fridge_drawer
119,OP01-R01-PastaSalad-615705-616755,OP01-R01-PastaSalad,615705,616755,6,fridge_drawer
120,OP01-R01-PastaSalad-616915-618030,OP01-R01-PastaSalad,616915,618030,1,fridge_drawer
121,OP01-R01-PastaSalad-618030-618990,OP01-R01-PastaSalad,618030,618990,6,drawer
122,OP01-R01-PastaSalad-626450-627100,OP01-R01-PastaSalad,626450,627100,5,carrot_container
123,OP01-R01-PastaSalad-628062-629122,OP01-R01-PastaSalad,628062,629122,3,eating_utensil
124,OP01-R01-PastaSalad-629137-629907,OP01-R01-PastaSalad,629137,629907,3,tomato
125,OP01-R01-PastaSalad-630827-633437,OP01-R01-PastaSalad,630827,633437,4,carrot
126,OP01-R01-PastaSalad-633437-634267,OP01-R01-PastaSalad,633437,634267,5,tomato
127,OP01-R01-PastaSalad-637157-637787,OP01-R01-PastaSalad,637157,637787,5,"trash,trash_container"
128,OP01-R01-PastaSalad-641418-655138,OP01-R01-PastaSalad,641418,655138,7,"pasta,eating_utensil"
129,OP01-R01-PastaSalad-655850-658730,OP01-R01-PastaSalad,655850,658730,5,cooking_utensil
130,OP01-R01-PastaSalad-662995-663735,OP01-R01-PastaSalad,662995,663735,4,carrot
131,OP01-R01-PastaSalad-663820-671580,OP01-R01-PastaSalad,663820,671580,4,carrot
132,OP01-R01-PastaSalad-671685-672745,OP01-R01-PastaSalad,671685,672745,4,carrot
133,OP01-R01-PastaSalad-673530-677590,OP01-R01-PastaSalad,673530,677590,4,carrot
134,OP01-R01-PastaSalad-677615-678235,OP01-R01-PastaSalad,677615,678235,4,carrot
135,OP01-R01-PastaSalad-678500-681000,OP01-R01-PastaSalad,678500,681000,4,carrot
136,OP01-R01-PastaSalad-681225-682175,OP01-R01-PastaSalad,681225,682175,5,carrot
137,OP01-R01-PastaSalad-682515-703775,OP01-R01-PastaSalad,682515,703775,4,carrot
138,OP01-R01-PastaSalad-703780-705320,OP01-R01-PastaSalad,703780,705320,4,carrot
139,OP01-R01-PastaSalad-705405-707395,OP01-R01-PastaSalad,705405,707395,4,carrot
140,OP01-R01-PastaSalad-708125-709765,OP01-R01-PastaSalad,708125,709765,7,carrot
141,OP01-R01-PastaSalad-709720-711990,OP01-R01-PastaSalad,709720,711990,3,carrot
142,OP01-R01-PastaSalad-712000-712690,OP01-R01-PastaSalad,712000,712690,5,carrot
143,OP01-R01-PastaSalad-712710-718310,OP01-R01-PastaSalad,712710,718310,4,carrot
144,OP01-R01-PastaSalad-718585-719945,OP01-R01-PastaSalad,718585,719945,7,carrot
145,OP01-R01-PastaSalad-718620-719640,OP01-R01-PastaSalad,718620,719640,7,carrot
146,OP01-R01-PastaSalad-719900-720550,OP01-R01-PastaSalad,719900,720550,5,carrot
147,OP01-R01-PastaSalad-721070-722630,OP01-R01-PastaSalad,721070,722630,5,eating_utensil
148,OP01-R01-PastaSalad-727427-750377,OP01-R01-PastaSalad,727427,750377,4,tomato
149,OP01-R01-PastaSalad-750942-753898,OP01-R01-PastaSalad,750942,753898,4,bell_pepper
150,OP01-R01-PastaSalad-754360-792420,OP01-R01-PastaSalad,754360,792420,4,carrot
151,OP01-R01-PastaSalad-792430-794680,OP01-R01-PastaSalad,792430,794680,7,carrot
152,OP01-R01-PastaSalad-795740-796440,OP01-R01-PastaSalad,795740,796440,3,cooking_utensil
153,OP01-R01-PastaSalad-796535-805085,OP01-R01-PastaSalad,796535,805085,7,"pasta,eating_utensil"
154,OP01-R01-PastaSalad-805025-806535,OP01-R01-PastaSalad,805025,806535,5,cooking_utensil
155,OP01-R01-PastaSalad-807845-809215,OP01-R01-PastaSalad,807845,809215,3,olive_container
156,OP01-R01-PastaSalad-809305-814045,OP01-R01-PastaSalad,809305,814045,2,olive_container
157,OP01-R01-PastaSalad-814070-814710,OP01-R01-PastaSalad,814070,814710,5,lid
158,OP01-R01-PastaSalad-814715-815325,OP01-R01-PastaSalad,814715,815325,3,eating_utensil
159,OP01-R01-PastaSalad-815095-815915,OP01-R01-PastaSalad,815095,815915,3,eating_utensil
160,OP01-R01-PastaSalad-815920-816970,OP01-R01-PastaSalad,815920,816970,5,eating_utensil
161,OP01-R01-PastaSalad-817070-828980,OP01-R01-PastaSalad,817070,828980,10,"olive,olive_container,plate"
162,OP01-R01-PastaSalad-829640-830340,OP01-R01-PastaSalad,829640,830340,5,olive_container
163,OP01-R01-PastaSalad-832975-834085,OP01-R01-PastaSalad,832975,834085,6,olive_container
164,OP01-R01-PastaSalad-835440-839540,OP01-R01-PastaSalad,835440,839540,10,"olive,olive_container,plate"
165,OP01-R01-PastaSalad-840625-843245,OP01-R01-PastaSalad,840625,843245,6,olive_container
166,OP01-R01-PastaSalad-843480-844420,OP01-R01-PastaSalad,843480,844420,5,eating_utensil
167,OP01-R01-PastaSalad-846165-848065,OP01-R01-PastaSalad,846165,848065,1,recipe
168,OP01-R01-PastaSalad-849565-851375,OP01-R01-PastaSalad,849565,851375,2,fridge
169,OP01-R01-PastaSalad-852265-854335,OP01-R01-PastaSalad,852265,854335,5,olive_container
170,OP01-R01-PastaSalad-855105-857265,OP01-R01-PastaSalad,855105,857265,5,carrot_container
171,OP01-R01-PastaSalad-857690-860050,OP01-R01-PastaSalad,857690,860050,2,fridge
172,OP01-R01-PastaSalad-862797-864097,OP01-R01-PastaSalad,862797,864097,3,condiment_container
173,OP01-R01-PastaSalad-866372-867652,OP01-R01-PastaSalad,866372,867652,3,cheese_container
174,OP01-R01-PastaSalad-867462-869592,OP01-R01-PastaSalad,867462,869592,1,condiment_container
175,OP01-R01-PastaSalad-870262-871292,OP01-R01-PastaSalad,870262,871292,3,condiment_container
176,OP01-R01-PastaSalad-872692-873292,OP01-R01-PastaSalad,872692,873292,5,unknown_container
177,OP01-R01-PastaSalad-881022-882542,OP01-R01-PastaSalad,881022,882542,7,bowl
178,OP01-R01-PastaSalad-883792-896260,OP01-R01-PastaSalad,883792,896260,7,pasta
179,OP01-R01-PastaSalad-896251-898201,OP01-R01-PastaSalad,896251,898201,7,"pot,eating_utensil"
180,OP01-R01-PastaSalad-898221-903011,OP01-R01-PastaSalad,898221,903011,0,"mixture,eating_utensil"
181,OP01-R01-PastaSalad-909951-912511,OP01-R01-PastaSalad,909951,912511,0,"pasta,eating_utensil"
182,OP01-R01-PastaSalad-963900-964580,OP01-R01-PastaSalad,963900,964580,3,cooking_utensil
183,OP01-R01-PastaSalad-964645-980065,OP01-R01-PastaSalad,964645,980065,7,pasta
184,OP01-R01-PastaSalad-981720-983270,OP01-R01-PastaSalad,981720,983270,5,cooking_utensil
185,OP01-R01-PastaSalad-1002316-1004005,OP01-R01-PastaSalad,1002316,1004005,7,"pasta,cooking_utensil"
186,OP01-R01-PastaSalad-1004110-1021110,OP01-R01-PastaSalad,1004110,1021110,1,pasta
187,OP01-R01-PastaSalad-1022590-1024050,OP01-R01-PastaSalad,1022590,1024050,5,cooking_utensil
188,OP01-R01-PastaSalad-1029725-1031715,OP01-R01-PastaSalad,1029725,1031715,1,recipe
189,OP01-R01-PastaSalad-1063805-1064815,OP01-R01-PastaSalad,1063805,1064815,3,cooking_utensil
190,OP01-R01-PastaSalad-1064965-1075115,OP01-R01-PastaSalad,1064965,1075115,1,pasta
191,OP01-R01-PastaSalad-1075215-1079125,OP01-R01-PastaSalad,1075215,1079125,0,"soup,cooking_utensil"
192,OP01-R01-PastaSalad-1081255-1083455,OP01-R01-PastaSalad,1081255,1083455,5,cooking_utensil
193,OP01-R01-PastaSalad-1102245-1115035,OP01-R01-PastaSalad,1102245,1115035,7,"pasta,cooking_utensil"
194,OP01-R01-PastaSalad-1115060-1121560,OP01-R01-PastaSalad,1115060,1121560,0,pasta
195,OP01-R01-PastaSalad-1131720-1133350,OP01-R01-PastaSalad,1131720,1133350,0,"pasta,pot,eating_utensil"
196,OP01-R01-PastaSalad-1133350-1135180,OP01-R01-PastaSalad,1133350,1135180,0,"soup,cooking_utensil"
197,OP01-R01-PastaSalad-1135180-1141210,OP01-R01-PastaSalad,1135180,1141210,0,pasta
198,OP01-R01-PastaSalad-1159830-1192160,OP01-R01-PastaSalad,1159830,1192160,0,"soup,cooking_utensil"
199,OP01-R01-PastaSalad-1212385-1219155,OP01-R01-PastaSalad,1212385,1219155,7,pasta
200,OP01-R01-PastaSalad-1219175-1220835,OP01-R01-PastaSalad,1219175,1220835,7,"pasta,eating_utensil"
201,OP01-R01-PastaSalad-1220840-1222260,OP01-R01-PastaSalad,1220840,1222260,0,"water,cooking_utensil"
202,OP01-R01-PastaSalad-1222245-1223255,OP01-R01-PastaSalad,1222245,1223255,7,cooking_utensil
203,OP01-R01-PastaSalad-1223605-1225305,OP01-R01-PastaSalad,1223605,1225305,3,pot
204,OP01-R01-PastaSalad-1225080-1225900,OP01-R01-PastaSalad,1225080,1225900,3,pot
205,OP01-R01-PastaSalad-1229605-1236065,OP01-R01-PastaSalad,1229605,1236065,9,"water,pot,sink"
206,OP01-R01-PastaSalad-1236540-1238290,OP01-R01-PastaSalad,1236540,1238290,5,pot
207,OP01-R01-PastaSalad-1239760-1240670,OP01-R01-PastaSalad,1239760,1240670,3,cooking_utensil
208,OP01-R01-PastaSalad-1243030-1250580,OP01-R01-PastaSalad,1243030,1250580,9,"water,pot,pan"
209,OP01-R01-PastaSalad-1252509-1263139,OP01-R01-PastaSalad,1252509,1263139,9,"water,pot,sink"
210,OP01-R01-PastaSalad-1264849-1288139,OP01-R01-PastaSalad,1264849,1288139,0,pasta
211,OP01-R01-PastaSalad-1291810-1293140,OP01-R01-PastaSalad,1291810,1293140,5,pot
212,OP01-R01-PastaSalad-1296960-1309070,OP01-R01-PastaSalad,1296960,1309070,10,"pasta,pot,bowl"
213,OP01-R01-PastaSalad-1309480-1310670,OP01-R01-PastaSalad,1309480,1310670,5,pot
214,OP01-R01-PastaSalad-1311110-1312370,OP01-R01-PastaSalad,1311110,1312370,5,cooking_utensil
215,OP01-R01-PastaSalad-1312625-1313945,OP01-R01-PastaSalad,1312625,1313945,3,eating_utensil
216,OP01-R01-PastaSalad-1314885-1316195,OP01-R01-PastaSalad,1314885,1316195,3,plate
217,OP01-R01-PastaSalad-1317567-1343781,OP01-R01-PastaSalad,1317567,1343781,10,"vegetable,plate,bowl"
218,OP01-R01-PastaSalad-1343924-1357174,OP01-R01-PastaSalad,1343924,1357174,10,"plate,bowl"
219,OP01-R01-PastaSalad-1357220-1360610,OP01-R01-PastaSalad,1357220,1360610,0,"mixture,eating_utensil"
220,OP01-R01-PastaSalad-1361377-1362413,OP01-R01-PastaSalad,1361377,1362413,5,olive
221,OP01-R01-PastaSalad-1362482-1363607,OP01-R01-PastaSalad,1362482,1363607,5,olive
222,OP01-R01-PastaSalad-1364725-1365495,OP01-R01-PastaSalad,1364725,1365495,3,condiment_container
223,OP01-R01-PastaSalad-1365595-1366395,OP01-R01-PastaSalad,1365595,1366395,3,condiment_container
224,OP01-R01-PastaSalad-1366570-1369860,OP01-R01-PastaSalad,1366570,1369860,2,condiment_container
225,OP01-R01-PastaSalad-1370300-1383030,OP01-R01-PastaSalad,1370300,1383030,9,"condiment,condiment_container,salad"
226,OP01-R01-PastaSalad-1383430-1386910,OP01-R01-PastaSalad,1383430,1386910,6,unkown
227,OP01-R01-PastaSalad-1386854-1387602,OP01-R01-PastaSalad,1386854,1387602,3,condiment_container
228,OP01-R01-PastaSalad-1387591-1388132,OP01-R01-PastaSalad,1387591,1388132,3,condiment_container
229,OP01-R01-PastaSalad-1388132-1389630,OP01-R01-PastaSalad,1388132,1389630,2,condiment_container
230,OP01-R01-PastaSalad-1390420-1391550,OP01-R01-PastaSalad,1390420,1391550,9,"condiment,condiment_container,salad"
231,OP01-R01-PastaSalad-1391800-1393610,OP01-R01-PastaSalad,1391800,1393610,6,condiment_container
232,OP01-R01-PastaSalad-1393460-1394270,OP01-R01-PastaSalad,1393460,1394270,6,condiment_container
233,OP01-R01-PastaSalad-1443800-1445000,OP01-R01-PastaSalad,1443800,1445000,10,"pasta,counter,bowl"
234,OP01-R01-PastaSalad-1445005-1446705,OP01-R01-PastaSalad,1445005,1446705,5,pasta
235,OP01-R01-PastaSalad-1447030-1449910,OP01-R01-PastaSalad,1447030,1449910,0,pasta
236,OP01-R01-PastaSalad-1450235-1451335,OP01-R01-PastaSalad,1450235,1451335,5,eating_utensil
237,OP01-R01-PastaSalad-1453120-1454610,OP01-R01-PastaSalad,1453120,1454610,1,recipe
238,OP01-R01-PastaSalad-1455300-1456360,OP01-R01-PastaSalad,1455300,1456360,3,condiment_container
239,OP01-R01-PastaSalad-1457105-1458455,OP01-R01-PastaSalad,1457105,1458455,2,fridge
240,OP01-R01-PastaSalad-1458495-1459865,OP01-R01-PastaSalad,1458495,1459865,5,condiment_container
241,OP01-R01-PastaSalad-1459865-1460905,OP01-R01-PastaSalad,1459865,1460905,5,condiment_container
242,OP01-R04-ContinentalBreakfast-66700-67640,OP01-R04-ContinentalBreakfast,66700,67640,7,eating_utensil
243,OP01-R04-ContinentalBreakfast-67825-70705,OP01-R04-ContinentalBreakfast,67825,70705,3,plate
244,OP01-R04-ContinentalBreakfast-69130-70430,OP01-R04-ContinentalBreakfast,69130,70430,3,plate
245,OP01-R04-ContinentalBreakfast-71665-72925,OP01-R04-ContinentalBreakfast,71665,72925,3,bowl
246,OP01-R04-ContinentalBreakfast-72340-74140,OP01-R04-ContinentalBreakfast,72340,74140,3,bowl
247,OP01-R04-ContinentalBreakfast-80215-81295,OP01-R04-ContinentalBreakfast,80215,81295,3,condiment_container
248,OP01-R04-ContinentalBreakfast-81560-83140,OP01-R04-ContinentalBreakfast,81560,83140,2,condiment_container
249,OP01-R04-ContinentalBreakfast-82685-83480,OP01-R04-ContinentalBreakfast,82685,83480,2,condiment_container
250,OP01-R04-ContinentalBreakfast-83665-84825,OP01-R04-ContinentalBreakfast,83665,84825,3,condiment_container
251,OP01-R04-ContinentalBreakfast-84990-93520,OP01-R04-ContinentalBreakfast,84990,93520,10,"condiment,condiment_container,bowl"
252,OP01-R04-ContinentalBreakfast-93630-94740,OP01-R04-ContinentalBreakfast,93630,94740,5,eating_utensil
253,OP01-R04-ContinentalBreakfast-94040-94870,OP01-R04-ContinentalBreakfast,94040,94870,3,lid
254,OP01-R04-ContinentalBreakfast-94990-96000,OP01-R04-ContinentalBreakfast,94990,96000,7,condiment_container
255,OP01-R04-ContinentalBreakfast-97630-98440,OP01-R04-ContinentalBreakfast,97630,98440,3,condiment_container
256,OP01-R04-ContinentalBreakfast-99040-101550,OP01-R04-ContinentalBreakfast,99040,101550,2,condiment_container
257,OP01-R04-ContinentalBreakfast-102330-107850,OP01-R04-ContinentalBreakfast,102330,107850,0,"condiment,bowl"
258,OP01-R04-ContinentalBreakfast-108445-109555,OP01-R04-ContinentalBreakfast,108445,109555,6,condiment_container
259,OP01-R04-ContinentalBreakfast-109555-110625,OP01-R04-ContinentalBreakfast,109555,110625,5,condiment_container
260,OP01-R04-ContinentalBreakfast-111705-112865,OP01-R04-ContinentalBreakfast,111705,112865,2,microwave
261,OP01-R04-ContinentalBreakfast-112700-114530,OP01-R04-ContinentalBreakfast,112700,114530,5,bowl
262,OP01-R04-ContinentalBreakfast-114540-115360,OP01-R04-ContinentalBreakfast,114540,115360,0,microwave
263,OP01-R04-ContinentalBreakfast-115105-136975,OP01-R04-ContinentalBreakfast,115105,136975,0,microwave
264,OP01-R04-ContinentalBreakfast-141860-145730,OP01-R04-ContinentalBreakfast,141860,145730,0,microwave
265,OP01-R04-ContinentalBreakfast-146650-148550,OP01-R04-ContinentalBreakfast,146650,148550,2,fridge
266,OP01-R04-ContinentalBreakfast-149735-152195,OP01-R04-ContinentalBreakfast,149735,152195,3,bread_container
267,OP01-R04-ContinentalBreakfast-152440-154570,OP01-R04-ContinentalBreakfast,152440,154570,3,vegetable_container
268,OP01-R04-ContinentalBreakfast-157060-159420,OP01-R04-ContinentalBreakfast,157060,159420,0,microwave
